iter	Passed	Remaining
327	688	1411
328	690	1408
329	692	1405
330	694	1403
331	696	1400
332	697	1396
333	698	1393
334	700	1390
335	702	1387
336	703	1384
337	705	1381
338	706	1378
339	708	1374
340	709	1371
341	711	1369
342	713	1366
343	714	1363
344	716	1359
345	718	1357
346	719	1354
347	721	1351
348	722	1347
349	723	1343
350	725	1340
351	727	1338
352	728	1335
353	735	1342
354	743	1351
355	747	1352
356	751	1353
357	753	1351
358	755	1349
359	757	1346
360	759	1344
361	760	1340
362	765	1344
363	769	1344
364	772	1344
365	775	1343
366	777	1340
367	779	1339
368	781	1336
369	783	1333
370	785	1331
371	787	1329
372	790	1327
373	792	1325
374	794	1323
375	796	1321
376	798	1318
377	801	1319
378	803	1316
379	805	1314
380	808	1314
381	810	1311
382	812	1309
383	814	1306
384	816	1304
385	818	1302
386	821	1300
387	823	1298
388	825	1296
389	827	1294
390	839	1307
391	850	1319
392	853	1318
393	856	1316
394	858	1314
395	860	1312
396	862	1309
397	864	1306
398	865	1303
399	867	1301
400	868	1297
401	870	1294
402	871	1291
403	874	1289
404	875	1286
405	876	1283
406	878	1279
407	880	1277
408	881	1274
409	884	1272
410	885	1269
411	887	1266
412	888	1263
413	890	1260
414	891	1256
415	893	1253
416	894	1251
417	900	1253
418	904	1254
419	908	1254
420	910	1252
421	913	1250
422	914	1248
423	916	1245
424	918	1242
425	920	1239
426	921	1236
427	923	1233
428	925	1231
429	927	1229
430	929	1226
431	930	1223
432	932	1221
433	934	1218
434	935	1215
435	937	1213
436	939	1210
437	941	1207
438	942	1204
439	944	1201
440	945	1198
441	947	1196
442	949	1193
443	950	1190
444	953	1188
445	954	1186
446	956	1183
447	957	1180
448	960	1179
449	962	1176
450	964	1173
451	966	1171
452	968	1168
453	973	1171
454	981	1176
